sample_idx,omega,dG_spacer,coop_factor,Kd_strong_eff,Kd_weak_eff,Kd_sym_eff,cv_asym,cv_sym,delta_cv
39,2.9526714577139033,0.5066339918681755,1.29720571843087,2.1250653022494745,43.386749920926775,9.602066279418022,0.19141563528202052,0.1590550814255774,0.032360553856443125
40,0.047947628999335114,-2.132062604830199,1.5275470847133612,1.9855731662930545,40.5387854784832,8.971773773350886,0.18776054662747252,0.15749349274515453,0.030267053882317985
41,0.14123733518012996,-1.52832354849654,1.6885192849915442,1.9106818445405018,39.00975432603525,8.63337879110727,0.18472088035164133,0.161681335286888,0.023039545064753336
42,2.130243623619923,0.13594849399962197,1.7083534205170814,1.9024307649624315,38.84129478464965,8.59609644834749,0.1914278084442836,0.16153290325683306,0.029894905187450527
43,9.234442156198801,0.9574684489620053,1.9513717896102094,1.814952007807647,37.055270159406135,8.20082538380552,0.19562562207195866,0.16162206730347323,0.03400355476848543
44,6.4663162525680935,0.9404518603448084,1.4047012776788874,2.054274157123902,41.94143070794634,9.282197865599343,0.1914083349653002,0.1589081435736202,0.03250019139167998
45,12.932896560902021,1.2707123416428867,1.6435014686912115,1.9301484196151097,39.40719690047516,8.721338132357534,0.19363344411566555,0.15982501655327874,0.033808427562386806
46,13.343813020672536,1.4131615545919383,1.3456103066516805,2.0917886508955132,42.70735162245006,9.451706376821338,0.1853039666824019,0.15740345023748745,0.027900516444914453
47,6.947903282839489,0.994596497021869,1.382310795136897,2.0681115739106692,42.22394463400949,9.344721964497303,0.19519802811004794,0.1589552749359511,0.03624275317409684
48,2.0487891748472684,-0.6956088828018756,6.337847308126411,1.389338736271124,28.365665865535448,6.277700085788743,0.1934662133698069,0.16643100700112737,0.027035206368679537
49,0.06774074074057423,-1.8976487156500257,1.475034094185533,2.0135405172872303,41.10978556128096,9.09814370542853,0.19596604469750925,0.15852166345916108,0.03744438123834817
